timestamp,action,ticket_id,user_id,event_id,seat_number,price,status
2026-08-20 01:10:07,BOOK,10001,50,53,K15,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10002,20,53,A20,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10003,1,53,A1,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10004,2,53,A2,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10008,6,53,A6,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10007,5,53,A5,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10011,9,53,A9,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10010,8,53,A8,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10018,17,53,A17,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10016,15,53,A15,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10005,4,53,A4,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10014,12,53,A12,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10020,18,53,A18,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10019,16,53,A16,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10017,14,53,A14,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10021,19,53,A19,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10012,11,53,A11,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10013,10,53,A10,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10015,13,53,A13,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10022,10,53,B5,15.0,SUCCESS
2026-08-20 01:10:09,CANCEL,10022,10,53,B5,15.0,SUCCESS
2026-08-20 01:10:09,BOOK,10023,20,53,B5,15.0,SUCCESS
2026-08-20 01:11:14,BOOK,10001,1,53,J10,15.0,SUCCESS
2026-08-20 01:11:15,CANCEL,10001,1,53,J10,15.0,SUCCESS
2026-08-20 01:37:52,BOOK,10001,1,53,J10,15.0,SUCCESS
2026-08-20 01:37:52,CANCEL,10001,1,53,J10,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10001,50,53,K15,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10003,1,53,A1,15.0,SUCCESS

2026-08-20 01:49:29,BOOK,10007,5,53,A5,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10005,2,53,A2,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10008,8,53,A8,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10006,4,53,A4,15.0,SUCCESS

2026-08-20 01:49:29,BOOK,10016,15,53,A15,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10017,16,53,A16,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10015,14,53,A14,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10018,17,53,A17,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10013,12,53,A12,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10010,9,53,A9,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10014,7,53,A7,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10009,6,53,A6,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10019,18,53,A18,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10011,10,53,A10,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10020,19,53,A19,15.0,SUCCESS
2026-08-20 01:49:29,BOOK,10021,13,53,A13,15.0,SUCCESS
2026-08-20 01:49:31,BOOK,10022,10,53,B5,15.0,SUCCESS
2026-08-20 01:49:32,CANCEL,10022,10,53,B5,15.0,SUCCESS
2026-08-20 01:49:33,BOOK,10023,20,53,B5,15.0,SUCCESS
2026-08-20 01:49:45,BOOK,10001,1,53,J10,15.0,SUCCESS
2026-08-20 01:49:45,CANCEL,10001,1,53,J10,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10001,50,53,K15,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10004,2,53,A2,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10008,7,53,A7,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10005,3,53,A3,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10003,1,53,A1,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10002,20,53,A20,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10009,6,53,A6,15.0,SUCCESS

2026-08-20 01:54:39,BOOK,10016,16,53,A16,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10015,14,53,A14,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10019,18,53,A18,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10011,9,53,A9,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10013,11,53,A11,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10012,10,53,A10,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10018,15,53,A15,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10020,19,53,A19,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10021,13,53,A13,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10006,4,53,A4,15.0,SUCCESS
2026-08-20 01:54:39,BOOK,10017,17,53,A17,15.0,SUCCESS
2026-08-20 01:54:41,BOOK,10022,10,53,B5,15.0,SUCCESS
2026-08-20 01:54:41,CANCEL,10022,10,53,B5,15.0,SUCCESS
2026-08-20 01:54:41,BOOK,10023,20,53,B5,15.0,SUCCESS
2026-08-20 01:54:43,BOOK,10001,1,53,J10,15.0,SUCCESS
2026-08-20 01:54:43,CANCEL,10001,1,53,J10,15.0,SUCCESS
